iter	Passed	Remaining
354	841	1529
355	843	1526
356	845	1522
357	847	1519
358	850	1518
359	851	1514
360	853	1510
361	854	1506
362	856	1502
363	858	1499
364	860	1497
365	863	1495
366	864	1491
367	865	1487
368	867	1484
369	869	1480
370	871	1477
371	873	1474
372	874	1470
373	876	1467
374	878	1464
375	880	1461
376	883	1459
377	885	1456
378	886	1452
379	888	1448
380	889	1445
381	890	1441
382	892	1437
383	895	1436
384	897	1433
385	898	1429
386	900	1426
387	901	1422
388	903	1418
389	905	1415
390	908	1414
391	909	1411
392	911	1407
393	912	1403
394	914	1400
395	915	1396
396	919	1396
397	921	1393
398	922	1389
399	924	1386
400	925	1383
401	927	1379
402	929	1377
403	932	1375
404	934	1373
405	936	1370
406	939	1368
407	941	1365
408	943	1363
409	945	1360
410	946	1356
411	948	1353
412	949	1350
413	951	1347
414	954	1345
415	956	1342
416	957	1339
417	959	1336
418	960	1332
419	963	1330
420	966	1328
421	967	1325
422	969	1322
423	970	1319
424	972	1315
425	974	1312
426	978	1313
427	980	1310
428	982	1307
429	983	1303
430	984	1300
431	986	1296
432	990	1296
433	991	1293
434	993	1290
435	995	1287
436	996	1283
437	998	1280
438	1001	1280
439	1003	1277
440	1005	1274
441	1007	1271
442	1008	1268
443	1009	1264
444	1013	1263
445	1015	1261
446	1017	1258
447	1018	1254
448	1019	1251
449	1022	1249
450	1025	1248
451	1027	1245
452	1029	1242
